"","year","block","fence","plot","treatment","depth.cat","depth0","depth1","moisture","bulk.density","ash","C","N","CtoN","delta13C","delta15N","soil.stock","ash.stock","C.stock","N.stock","cu.soil.stock","cu.ash.stock","cu.C.stock","cu.N.stock","fracModern","fracModernSe","d14C","d14CSe","dryWt","LFracWt","HFracWt","HFracC","LFracC","HFracN","LFracN","HFracd15N","LFracd15N","HFracd13C","LFracd13C","LFracF14C","LFracF14CSe","HFracF14C","HFracF14CSe","LFracd14C","LFracd14CSe","HFracd14C","HFracd14CSe","Ti","Zr","Fe","FeGap","FeDCB","FeDCBGap","coreNum","midDepth","percC","percAsh","Fe.stock","FeDCB.stock","feAsh","hCAsh","tiAsh","tiFe","tiHC","tiLC","zrAsh","zrFe","zrHC","zrLC","bulkAge","LFracAge","HFracAge","LFracOffset","HFracOffset","treatmentReal"
"1",2009,1,1,2,"i","0-5",0,5,827.027027027027,0.0754546546546547,66.57,455.751131019037,11.82,38.5576252977189,-26.5545482707014,-2.04527811753008,3.77273273273273,0.251150818018018,1.71942720997549,0.0445937009009009,3.77273273273273,0.251150818018018,1.71942720997549,0.0445937009009009,1.15157395522771,0.81940857245646,143.384649375658,9.4360957073118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1700.575916,54.28069,8098.1,8098.1,5616.586456,5616.586456,1,2.5,45.5751131019037,6.657,0.030551966942943,0.0211898795687746,121.647889439688,NA,0.0391455620261765,4.76197500141476,NA,NA,1.22640298050743,149.189334181271,NA,NA,-1133.69458559432,NA,NA,NA,NA,"c"
"2",2009,1,1,2,"i","05-15",5,15,818.955042527339,0.122484735339567,168.12,423.115475923852,13.92,30.3962267186675,-26.2131977979338,0.293165887821186,12.2484735339567,2.05921337052879,5.18251870866078,0.170498751592677,16.0212062666894,2.31036418854681,6.90194591863626,0.215092452493578,1.022343615902,0.879709290458569,15.0733190022536,8.99365176949994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1754.53737,64.707995,21040.1,21040.1,18293.60663,18293.60663,1,10,42.3115475923852,16.812,0.257709108001802,0.22406875664817,125.14929812039,NA,0.095820130636488,11.9918220949606,NA,NA,2.59813335276421,325.154565521618,NA,NA,-177.510457431585,NA,NA,NA,NA,"c"
"3",2009,1,1,2,"i","15-25",15,25,605.19801980198,0.373613985572473,501.27,352.229204927212,16.92,20.8173288964073,-26.2174404165042,1.11075691715376,37.3613985572473,18.7281482547913,13.1597757087879,0.632154863588623,53.3826048239366,21.0385124433381,20.0617216274241,0.847247316082201,0.895590228491192,0.871458220288781,-110.778674058169,7.80469466628955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3626.497832,145.49248,19734.5,19734.5,17014.716836,17014.716836,1,20,35.2229204927212,50.127,0.737308519827997,0.635693617048502,39.369002733058,NA,0.1382242657301,5.44175149530325,NA,NA,3.44533270722995,135.63931276723,NA,NA,885.817425178511,NA,NA,NA,NA,"c"
"4",2009,1,1,2,"i","25-35",25,35,234.275895183533,1.2703885891109,917.667101361038,33.0677958627133,1.2385242083773,26.6993536654712,-27.7581112871939,0.469654270169063,127.03885891109,116.579381417154,4.20089505310398,0.157340702166014,180.421463735027,137.617893860492,24.2626166805281,1.00458801824821,0.501051574534134,1.17371948533168,-502.511604862975,5.88093996186834,8.01200000000001,0.173,7.71900000000001,16.3402920389385,337.99874891856,NA,7.97583795961007,NA,1.38858211349051,NA,-26.3611555509632,NA,NA,NA,NA,NA,NA,NA,NA,5184.01532,218.01996,23057.1,23057.1,6312.033663,6312.033663,1,30,3.30677958627133,91.7667101361038,2.92914767379889,0.801873553955908,25.1257781452586,0.0178063395916704,0.177018593641239,4.44772991141546,0.00315205319241582,0.0652001832661559,4.20909673298279,105.756830704858,0.0749486058016821,1.55031103078159,5551.17444602968,NA,NA,NA,NA,"c"
"5",2009,1,1,2,"i","35-45",35,45,224.238680780595,1.44425163324732,919.078985099672,32.9404233482608,1.23741046453672,26.6204499576407,-27.5959902772268,0.0771175537352819,144.425163324732,132.738132531349,4.75742602205838,0.178713208440449,324.846627059759,270.356026391841,29.0200427025865,1.18330122668866,0.580387493117802,0.846148493755851,-423.739875925473,4.88011454779297,8.03613986856027,0.440262830488648,7.57502292680128,23.2060391745988,239.666062582175,1.5310690814333,7.47938607900299,NA,NA,NA,NA,0.703295468250469,1.11390034789354,0.545121803348105,1.21961762052851,-301.705948868875,7.8037792950178,-458.754777182373,6.6485736925608,5107.927858,219.134705,31526.4,31526.4,10194.448836,10194.448836,1,40,3.29404233482608,91.9078985099672,4.55320546904083,1.47233493814492,34.3021660935714,0.0252492327110299,0.179931864867711,6.17205271421827,0.00454314152817442,0.0469204086754694,4.19412792282113,143.867672626296,0.105898511943139,1.09369286157651,4370.42841259348,2827.4407138356,4873.99075381996,-1542.98769875788,503.562341226486,"c"
"6",2009,1,1,2,"i","45-55",45,55,450.510072719405,0.709259503933414,802.066626929487,113.184613666419,4.06358290239002,27.8534033598402,-27.2456353164985,0.199593204903204,70.9259503933414,56.8873377937555,8.02772629419396,0.288213479354145,395.772577453101,327.243364185597,37.0477689967805,1.47151470604281,0.659713662933843,0.767121282552034,-344.97782642819,5.05790718366088,8.01446274498153,1.50103922033093,6.22337254295794,54.2819138884403,234.792027845621,3.11843137947664,9.60862746105693,NA,NA,NA,NA,0.673502177353366,1.11834390862202,0.647043394266147,1.10090298383639,-331.287367683959,7.5320944663588,-357.55799171618,7.10365119282628,4841.84023,211.400545,36113.8,36113.8,12297.337442,12297.337442,1,50,11.3184613666419,80.2066626929487,2.56140558731505,0.872200345381472,45.025935237142,0.0676775620203089,0.165653261741246,7.45869303498269,0.0112110088953597,0.0484923121566159,3.79406130163708,170.831158453258,0.256772819050397,1.11065005932516,3341.32138672139,3175.15611561043,3497.10161739086,-166.16527111096,155.780230669469,"c"
"7",2009,1,1,2,"i","55-65",55,65,572.235649339606,0.511583127037257,730.255843244464,163.872154205973,5.74576809053975,28.5204957150609,-27.1837950167064,1.27758299628029,51.1583127037257,37.3586567824232,8.38342290830231,0.293943800698922,446.930890156826,364.60202096802,45.4311919050828,1.76545850674173,0.622457611707516,1.12402522233269,-381.968934880371,6.96753860931321,8.04954368781151,3.3991920475922,4.21988458098409,60.5694572525077,261.442596268688,3.46754508706062,11.5973647388181,NA,NA,NA,NA,0.63625528564362,1.15961380619263,0.605039309306598,1.14296188758837,-368.269381756566,7.37471939926773,-399.263368722837,6.90702124934429,5216.84196,208.56929,33034.4,33034.4,10885.724785,10885.724785,1,60,16.3872154205973,73.0255843244464,1.68998416517996,0.556895312557727,45.2367486074894,0.0829427902738892,0.139980441969238,6.33226006332766,0.0116103684407008,0.0501151076212951,3.50126254562435,158.385733585227,0.290404485015544,1.25350475263491,3808.28260447231,3632.1643575769,4036.27603302926,-176.11824689541,227.993428556946,"c"
"8",2009,1,1,2,"i","65-75",65,75,527.808637212124,0.480482316112326,754.890086149607,149.27528682493,5.17916547568569,28.8222663527017,-27.631082554201,0.484985257828883,48.0482316112326,36.2711337003396,7.17241355519741,0.248849742328646,494.979121768059,400.87315466836,52.6036054602802,2.01430824907038,0.64115401312073,0.853082410665228,-363.405491102062,5.44238744347677,8.0151205836572,4.31643784795515,3.98209859099114,55.6434753747001,289.647833702343,3.31561650703309,12.8969854085699,NA,NA,NA,NA,0.615156421169028,1.18550338454223,0.59868358058053,1.13105281681345,-389.21820371454,7.29212687138031,-405.573899304041,6.77088990149609,NA,NA,NA,NA,NA,NA,1,70,14.927528682493,75.4890086149607,NA,NA,NA,0.0737106982799513,NA,NA,NA,NA,NA,NA,NA,NA,3570.55267090827,3903.06359831408,4121.10626057299,332.510927405808,550.553589664721,"c"
"9",2009,1,1,2,"i","75-85",75,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c"
"10",2009,1,1,2,"i","85-95",85,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c"
