"","year","fence","plot","wtd.mean","wtd.sd","winter.t40.min","winter.t40.mean","winter.t40.sd","t40.filled.min","t40.filled.mean","t40.filled.max","t40.filled.sd","treatment","treatment2"
"1",2009,1,1,27.5692307692308,10.7893015686874,-6.914,-2.03782270074462,2.11695447022429,-1.169,0.227324954923875,1.325,0.672177211753915,"c","i"
"2",2009,1,2,25.5794871794872,13.4274106820649,-6.833,-1.90824094385188,2.02702105380089,-1.142,-0.0144120619015747,1.378,0.460903734032119,"c","i"
"3",2009,1,3,25.5794871794872,13.4274106820649,-6.914,-2.03782270074462,2.11695447022429,-1.169,0.227324954923875,1.325,0.672177211753915,"c","i"
"4",2009,1,4,27.5692307692308,10.7893015686874,-6.833,-1.90824094385188,2.02702105380089,-1.142,-0.0144120619015747,1.378,0.460903734032119,"c","i"
"5",2009,1,5,36.5820512820513,5.29860318211427,-2.783,-0.633965284765546,0.754868566696307,-1.319,0.14929573700507,1.58549410966908,0.433716595341696,"w","i"
"6",2009,1,6,14.025641025641,7.02996286389525,-2.166,-0.499252565908634,0.548646907408318,-2.197,0.376755325782439,1.791,0.608599517166036,"w","i"
"7",2009,1,7,14.025641025641,7.02996286389525,-2.783,-0.633965284765546,0.754868566696307,-1.319,0.14929573700507,1.58549410966908,0.433716595341696,"w","i"
"8",2009,1,8,36.5820512820513,5.29860318211427,-2.166,-0.499252565908634,0.548646907408318,-2.197,0.376755325782439,1.791,0.608599517166036,"w","i"
"9",2009,2,1,32.6794871794872,7.5476444386444,-5.841,-1.79611355403502,1.81182591504619,-1.891,-0.0285533604154064,0.835,0.436196292276843,"c","i"
"10",2009,2,2,27.6923076923077,9.64808092767907,-4.19,-0.941499597504528,1.19816037038905,-2.637,0.112801627761069,1.581,0.524676886887545,"c","i"
"11",2009,2,3,27.6923076923077,9.64808092767907,-5.841,-1.79611355403502,1.81182591504619,-1.891,-0.0285533604154064,0.835,0.436196292276843,"c","i"
"12",2009,2,4,32.6794871794872,7.5476444386444,-4.19,-0.941499597504528,1.19816037038905,-2.637,0.112801627761069,1.581,0.524676886887545,"c","i"
"13",2009,2,5,18.8717948717949,8.42436781066964,-2.446,-0.617642885892534,0.607687492315415,-0.989,0.0384721109870309,3.21,0.469046729672689,"w","i"
"14",2009,2,6,24.8153846153846,8.23009683582918,-1.884,-0.44172680619843,0.402042129300397,-0.537,0.623530293984722,2.98,0.833497433347319,"w","i"
"15",2009,2,7,24.8153846153846,8.23009683582918,-2.446,-0.617642885892534,0.607687492315415,-0.989,0.0384721109870309,3.21,0.469046729672689,"w","i"
"16",2009,2,8,18.8717948717949,8.42436781066964,-1.884,-0.44172680619843,0.402042129300397,-0.537,0.623530293984722,2.98,0.833497433347319,"w","i"
"17",2009,3,1,27.7666666666667,9.50081252296303,-5.639,-1.37582409591195,1.73056513174085,-1.515,0.520172576989379,2.179,0.958027739522932,"c","i"
"18",2009,3,2,31.5076923076923,6.22914983704098,-5.401,-1.4448896422956,1.71695773789479,-1.601,-0.135108599743141,0.749,0.451082216376344,"c","i"
"19",2009,3,3,31.5076923076923,6.22914983704098,-5.639,-1.37582409591195,1.73056513174085,-1.515,0.520172576989379,2.179,0.958027739522932,"c","i"
"20",2009,3,4,27.7666666666667,9.50081252296303,-5.401,-1.4448896422956,1.71695773789479,-1.601,-0.135108599743141,0.749,0.451082216376344,"c","i"
"21",2009,3,5,21.8897435897436,8.00637229342632,-1.675,-0.375477889150943,0.442109281855968,-0.532,0.571517247449975,3.032,0.754796989661383,"w","i"
"22",2009,3,6,27.3871794871795,9.65437396065637,-1.483,-0.32050009827044,0.447622029262492,-0.753,0.318919867576265,3.001,0.663815674380913,"w","i"
"23",2009,3,7,27.3871794871795,9.65437396065637,-1.675,-0.375477889150943,0.442109281855968,-0.532,0.571517247449975,3.032,0.754796989661383,"w","i"
"24",2009,3,8,21.8897435897436,8.00637229342632,-1.483,-0.32050009827044,0.447622029262492,-0.753,0.318919867576265,3.001,0.663815674380913,"w","i"
"25",2009,4,1,28.9333333333333,9.5622430019358,-5.358,-1.75597592374214,1.69492804004879,-0.656,0.376933373974929,1.717,0.655431085518393,"c","i"
"26",2009,4,2,34.2794871794872,7.99915059593269,-3.63,-1.1283579009434,1.24060761417,-1.272,1.61411512805538,4.601,1.65887248916786,"c","i"
"27",2009,4,3,34.2794871794872,7.99915059593269,-5.358,-1.75597592374214,1.69492804004879,-0.656,0.376933373974929,1.717,0.655431085518393,"c","i"
"28",2009,4,4,28.9333333333333,9.5622430019358,-3.63,-1.1283579009434,1.24060761417,-1.272,1.61411512805538,4.601,1.65887248916786,"c","i"
"29",2009,4,5,33.6871794871795,8.6347272985062,-2.331,-0.560332645440252,0.592386294130551,-0.726,0.138167795928151,1.875,0.508530528226034,"w","i"
"30",2009,4,6,33.5025641025641,8.4557824244866,-3.659,-1.02598850235849,1.04140858350789,-0.446,0.633991801409387,2.13,0.756604562670756,"w","i"
"31",2009,4,7,33.5025641025641,8.4557824244866,-2.331,-0.560332645440252,0.592386294130551,-0.726,0.138167795928151,1.875,0.508530528226034,"w","i"
"32",2009,4,8,33.6871794871795,8.6347272985062,-3.659,-1.02598850235849,1.04140858350789,-0.446,0.633991801409387,2.13,0.756604562670756,"w","i"
"33",2009,5,1,19.3384615384615,7.42086728456053,-5.745,-1.50658156446541,1.70681048470327,-1.347,0.194156726579521,1.239,0.680548532868201,"c","i"
"34",2009,5,2,27.8589743589744,7.90478595697828,-6.465,-1.87009571540881,2.02089672909288,-1.347,0.0691343273420479,1.194,0.600481394448499,"c","i"
"35",2009,5,3,27.8589743589744,7.90478595697828,-5.745,-1.50658156446541,1.70681048470327,-1.347,0.194156726579521,1.239,0.680548532868201,"c","i"
"36",2009,5,4,19.3384615384615,7.42086728456053,-6.465,-1.87009571540881,2.02089672909288,-1.347,0.0691343273420479,1.194,0.600481394448499,"c","i"
"37",2009,5,5,31.874358974359,10.2597506368773,-3.119,-0.822399076257862,0.8535054506188,-0.482,0.268943875263089,1.502,0.573594301018005,"w","i"
"38",2009,5,6,20.1615384615385,10.1616310176699,-3.073,-0.87096472091195,0.963218473478168,-1.074,0.413840073529412,1.875,0.746773071392833,"w","i"
"39",2009,5,7,20.1615384615385,10.1616310176699,-3.119,-0.822399076257862,0.8535054506188,-0.482,0.268943875263089,1.502,0.573594301018005,"w","i"
"40",2009,5,8,31.874358974359,10.2597506368773,-3.073,-0.87096472091195,0.963218473478168,-1.074,0.413840073529412,1.875,0.746773071392833,"w","i"
"41",2009,6,1,26.8179487179487,5.44449851708714,-6.547,-2.03517629716981,2.03898386278559,-1.17,-0.0616311955337691,0.645,0.392342715436492,"c","i"
"42",2009,6,2,21.7051282051282,7.56456241883125,-6.166,-1.82577053852201,1.81125953600045,-1.4,0.377408020152505,1.994,0.828022844672794,"c","i"
"43",2009,6,3,21.7051282051282,7.56456241883125,-6.547,-2.03517629716981,2.03898386278559,-1.17,-0.0616311955337691,0.645,0.392342715436492,"c","i"
"44",2009,6,4,26.8179487179487,5.44449851708714,-6.166,-1.82577053852201,1.81125953600045,-1.4,0.377408020152505,1.994,0.828022844672794,"c","i"
"45",2009,6,5,21.1923076923077,9.58385112724263,-2.988,-0.766579009433962,0.854275666311371,-0.988,0.331557529956427,1.487,0.697200952967635,"w","i"
"46",2009,6,6,21.025641025641,9.92269376489856,-1.763,-0.544165094339623,0.467167701569607,-0.607,0.503032339324619,1.906,0.785672355760009,"w","i"
"47",2009,6,7,21.025641025641,9.92269376489856,-2.988,-0.766579009433962,0.854275666311371,-0.988,0.331557529956427,1.487,0.697200952967635,"w","i"
"48",2009,6,8,21.1923076923077,9.58385112724263,-1.763,-0.544165094339623,0.467167701569607,-0.607,0.503032339324619,1.906,0.785672355760009,"w","i"
"49",2010,1,1,19.093023255814,5.41960266285784,-8.08,-3.06742531446541,2.79668794535769,-1.32,0.64619825708061,2.48,1.1184708398776,"c","c"
"50",2010,1,2,16.5813953488372,5.67883521817775,-7.449,-2.82975874606918,2.35327235509831,-0.737,0.802220452069717,3.065,0.946640725672118,"c","c"
"51",2010,1,3,16.5813953488372,5.67883521817775,-8.08,-3.06742531446541,2.79668794535769,-1.32,0.64619825708061,2.48,1.1184708398776,"c","c"
"52",2010,1,4,19.093023255814,5.41960266285784,-7.449,-2.82975874606918,2.35327235509831,-0.737,0.802220452069717,3.065,0.946640725672118,"c","c"
"53",2010,1,5,30.3023255813954,5.60839032895795,-4.431,-1.7141396422956,1.5642494118156,-0.877,0.52983197167756,2.214,0.951043709491067,"w","w"
"54",2010,1,6,8.67441860465116,3.33610073383768,-4.359,-1.43338345125786,1.4387135548986,-1.178,0.491492647058824,2.308,0.942760036052919,"w","w"
"55",2010,1,7,8.67441860465116,3.33610073383768,-4.431,-1.7141396422956,1.5642494118156,-0.877,0.52983197167756,2.214,0.951043709491067,"w","w"
"56",2010,1,8,30.3023255813954,5.60839032895795,-4.359,-1.43338345125786,1.4387135548986,-1.178,0.491492647058824,2.308,0.942760036052919,"w","w"
"57",2010,2,1,26.2558139534884,5.70335332963493,-7.73,-2.94731819968553,2.6604356834762,-1.33,0.282642973856209,1.67,0.742653666377753,"c","c"
"58",2010,2,2,21.4883720930233,6.30333280334133,-7.279,-2.66951012185535,2.25146807716698,-0.864,0.754896241830065,2.678,0.906049014055194,"c","c"
"59",2010,2,3,21.4883720930233,6.30333280334133,-7.73,-2.94731819968553,2.6604356834762,-1.33,0.282642973856209,1.67,0.742653666377753,"c","c"
