"","year","block","fence","plot","treatment","depth.cat","depth0","depth1","bulk.density","ash","C","N","soil.stock","ash.stock","C.stock","N.stock","fracModern","fracModernSe","delta14","d14CSe","dryWt","LFracWt","HFracWt","HFracC","LFracC","HFracN","LFracN","LFracF14C","LFracF14CSe","HFracF14C","HFracF14CSe","LFracd14C","LFracd14CSe","HFracd14C","HFracd14CSe","Fe","coreNum","midDepth","percC","bulkAge","LFracAge","HFracAge","LFracOffset","HFracOffset","propLC","propHC","propLN","propHN","stockLC","stockHC","stockLN","stockHN","percL","percH","LFracCtoN","HFracCtoN"
"1",2009,1,1,2,"i","0-5",0,5,0.0754546546546547,66.57,455.751131019037,11.82,3.77273273273273,0.251150818018018,1.71942720997549,0.0445937009009009,1.15157395522771,0.81940857245646,143.384649375658,9.4360957073118,1,1,0,0,455.751131019037,0,11.82,NA,NA,NA,NA,143.384649375658,NA,NA,NA,8098.1,1,2.5,45.5751131019037,-1133.69458559432,NA,NA,NA,NA,1,0,1,0,1.71942720997549,0,0.0445937009009009,0,100,0,38.5576252977189,NA
"2",2009,1,1,2,"i","05-15",5,15,0.122484735339567,168.12,423.115475923852,13.92,12.2484735339567,2.05921337052879,5.18251870866078,0.170498751592677,1.022343615902,0.879709290458569,15.0733190022536,8.99365176949994,1,1,0,0,423.115475923852,0,13.92,NA,NA,NA,NA,15.0733190022536,NA,NA,NA,21040.1,1,10,42.3115475923852,-177.510457431585,NA,NA,NA,NA,1,0,1,0,5.18251870866078,0,0.170498751592677,0,100,0,30.3962267186675,NA
"3",2009,1,1,2,"i","15-25",15,25,0.373613985572473,501.27,352.229204927212,16.92,37.3613985572473,18.7281482547913,13.1597757087879,0.632154863588623,0.895590228491192,0.871458220288781,-110.778674058169,7.80469466628955,1,1,0,0,352.229204927212,0,16.92,NA,NA,NA,NA,-110.778674058169,NA,NA,NA,19734.5,1,20,35.2229204927212,885.817425178511,NA,NA,NA,NA,1,0,1,0,13.1597757087879,0,0.632154863588623,0,100,0,20.8173288964073,NA
"4",2009,1,1,2,"i","25-35",25,35,1.2703885891109,917.667101361038,33.0677958627133,1.2385242083773,127.03885891109,116.579381417154,4.20089505310398,0.157340702166014,0.501051574534134,1.17371948533168,-502.511604862975,5.88093996186834,8.01200000000001,0.173,7.71900000000001,16.3402920389385,337.99874891856,0,7.97583795961007,NA,NA,NA,NA,NA,NA,NA,NA,23057.1,1,30,3.30677958627133,5551.17444602968,NA,NA,NA,NA,0.316751673204765,0.683248326795235,1,0,1.33064053702831,2.87025451607567,0.157340702166014,0,2.15926110833749,96.3429855217174,42.3778354864025,Inf
"5",2009,1,1,2,"i","35-45",35,45,1.44425163324732,919.078985099672,32.9404233482608,1.23741046453672,144.425163324732,132.738132531349,4.75742602205838,0.178713208440449,0.580387493117802,0.846148493755851,-423.739875925473,4.88011454779297,8.03613986856027,0.440262830488648,7.57502292680128,23.2060391745988,239.666062582175,1.5310690814333,7.47938607900299,0.703295468250469,1.11390034789354,0.545121803348105,1.21961762052851,-301.705948868875,7.8037792950178,-458.754777182373,6.6485736925608,31526.4,1,40,3.29404233482608,4370.42841259348,2827.4407138356,4873.99075381996,-1542.98769875788,503.562341226486,0.375098407935684,0.624901592064316,0.221136561613414,0.778863438386586,1.78450292674589,2.97292309531249,0.0395200244294223,0.139193184011027,5.47853618390945,94.2619597306536,32.0435474316527,15.1567551431936
"6",2009,1,1,2,"i","45-55",45,55,0.709259503933414,802.066626929487,113.184613666419,4.06358290239002,70.9259503933414,56.8873377937555,8.02772629419396,0.288213479354145,0.659713662933843,0.767121282552034,-344.97782642819,5.05790718366088,8.01446274498153,1.50103922033093,6.22337254295794,54.2819138884403,234.792027845621,3.11843137947664,9.60862746105693,0.673502177353366,1.11834390862202,0.647043394266147,1.10090298383639,-331.287367683959,7.5320944663588,-357.55799171618,7.10365119282628,36113.8,1,50,11.3184613666419,3341.32138672139,3175.15611561043,3497.10161739086,-166.16527111096,155.780230669469,0.510587105594638,0.489412894405362,0.42633430758317,0.57366569241683,4.09885353305846,3.9288727611355,0.122875294156586,0.165338185197559,18.7291309236024,77.6517745603705,24.4355428282776,17.4068008184135
"7",2009,1,1,2,"i","55-65",55,65,0.511583127037257,730.255843244464,163.872154205973,5.74576809053975,51.1583127037257,37.3586567824232,8.38342290830231,0.293943800698922,0.622457611707516,1.12402522233269,-381.968934880371,6.96753860931321,8.04954368781151,3.3991920475922,4.21988458098409,60.5694572525077,261.442596268688,3.46754508706062,11.5973647388181,0.63625528564362,1.15961380619263,0.605039309306598,1.14296188758837,-368.269381756566,7.37471939926773,-399.263368722837,6.90702124934429,33034.4,1,60,16.3872154205973,3808.28260447231,3632.1643575769,4036.27603302926,-176.11824689541,227.993428556946,0.776633385879309,0.223366614120691,0.729297441111837,0.270702558888163,6.51084611853298,1.87257678976933,0.214372461680412,0.0795713390185103,42.2283818738595,52.4238981070911,22.5432761801136,17.4675327160205
"8",2009,1,1,2,"i","65-75",65,75,0.480482316112326,754.890086149607,149.27528682493,5.17916547568569,48.0482316112326,36.2711337003396,7.17241355519741,0.248849742328646,0.64115401312073,0.853082410665228,-363.405491102062,5.44238744347677,8.0151205836572,4.31643784795515,3.98209859099114,55.6434753747001,289.647833702343,3.31561650703309,12.8969854085699,0.615156421169028,1.18550338454223,0.59868358058053,1.13105281681345,-389.21820371454,7.29212687138031,-405.573899304041,6.77088990149609,NA,1,70,14.927528682493,3570.55267090827,3903.06359831408,4121.10626057299,332.510927405808,550.553589664721,0.849453669060372,0.150546330939627,0.808295337814098,0.191704662185902,6.09263301048079,1.07978054471662,0.201144086540484,0.0477056557881619,53.8536857044465,49.6823291605946,22.4585687683166,16.7822410271722
"9",2009,1,1,2,"i","75-85",75,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2009,1,1,2,"i","85-95",85,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",2009,1,1,2,"i","95-105",95,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",2009,1,1,2,"i","105-115",105,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",2009,1,1,5,"i","0-5",0,5,0.03696,55.8802045288524,483.888555431131,12.88,1.848,0.103266617969319,0.89422605043673,0.02380224,1.13841356116674,0.145561716423151,130.317844173319,1.65709431962823,1,1,0,0,483.888555431131,0,12.88,NA,NA,NA,NA,130.317844173319,NA,NA,NA,7330.9,2,2.5,48.3888555431131,-1041.36341906363,NA,NA,NA,NA,1,0,1,0,0.89422605043673,0,0.02380224,0,100,0,37.5689872229139,NA
"14",2009,1,1,5,"i","05-15",5,15,0.0473262798634812,63.15987933635,457.160089585666,11.16,4.73262798634812,0.298912212561581,2.16356863421454,0.052816128327645,1.12385951956987,0.146189728244072,115.867302223583,1.64296717750433,1,1,0,0,457.160089585666,0,11.16,NA,NA,NA,NA,115.867302223583,NA,NA,NA,20620.3,2,10,45.7160089585666,-938.003457686886,NA,NA,NA,NA,1,0,1,0,2.16356863421454,0,0.052816128327645,0,100,0,40.9641657334826,NA
"15",2009,1,1,5,"i","15-25",15,25,0.199159802000239,243.74051593323,362.091914893617,15.97,19.9159802000239,4.85433128926981,7.21141540761001,0.318058203794381,0.979887150718932,0.160197334553223,-27.0812211700886,1.56975309708125,1,1,0,0,362.091914893617,0,15.97,NA,NA,NA,NA,-27.0812211700886,NA,NA,NA,6674.9,2,20,36.2091914893617,163.213419792523,NA,NA,NA,NA,1,0,1,0,7.21141540761001,0,0.318058203794381,0,100,0,22.6732570377969,NA
